A,B,DATE,TIME,DURATION,FIRST CELL ID,LAST CELL ID,IMEI A,IMSI A,A ADDRESS
Morrie,Beaudry,01-04-2023,5:34 AM,39,40042-025,11509-0054,4.84459E+15,3.58365E+15,Suite 81
Drusy,Guisot,12-01-2022,11:34 AM,10,68400-353,0378-5215,3.44512E+14,5.60226E+15,Suite 11
Danie,Churchlow,10/18/2022,8:51 AM,26,0409-3724,13811-673,4.02673E+15,3.54754E+15,6th Floor
Bertha,Veschambre,9/29/2022,6:51 AM,62,51141-5000,52125-765,3.5569E+15,6.70904E+18,Suite 93
Pia,Baford,5/24/2022,11:29 PM,90,64942-1125,0404-0375,3.74283E+14,6.76386E+17,PO Box 62062
Roxanna,Hallibone,12/29/2022,12:31 AM,39,0378-0731,62003-002,5.01866E+15,5.60221E+15,Apt 1722
Godiva,Rickson,6/15/2022,4:28 PM,100,31722-565,41163-092,6.04787E+17,3.57959E+15,PO Box 66230
Ronny,Burchell,2/14/2022,12:22 PM,60,0268-6558,43063-365,5.60226E+15,5.89329E+17,Apt 1942
Lyn,Martonfi,8/26/2022,2:47 PM,99,10742-8470,51655-550,5.00236E+15,3.58913E+15,Room 678
Randi,Jakeway,9/28/2022,3:49 AM,51,37808-160,58048-0001,3.53921E+15,6.30476E+16,Room 1167
Oran,Drummond,01-01-2023,11:26 AM,51,0378-1803,68645-221,3.58786E+15,3.57208E+15,Room 847
Hayes,Gonthard,6/19/2022,9:41 PM,99,0378-1745,16590-641,3.01341E+13,5.00236E+15,17th Floor
Nicol,MacElharge,07-12-2022,6:30 PM,16,68084-726,57525-013,3.4904E+14,2.01866E+14,PO Box 21610
Zachery,Bosket,10/21/2022,5:02 AM,36,68021-1001,63629-5112,3.55295E+15,2.01414E+14,PO Box 85377
Alfie,MacCurtain,3/17/2022,9:56 AM,57,43742-0309,55154-1186,5.36439E+15,3.79904E+14,Apt 1104
Granville,Yukhnev,6/20/2022,1:25 AM,77,59427-009,68703-004,3.5546E+15,3.53091E+15,Room 1384
Leeann,Minall,06-09-2022,4:34 PM,18,51660-340,11822-9000,3.55926E+15,4.0416E+12,Room 136
Marika,Chasmor,11-05-2022,10:56 AM,54,49999-952,47219-202,3.54191E+15,3.41674E+14,Suite 33
Sidonnie,Kneebone,6/21/2022,6:35 AM,34,55390-370,57520-0565,3.56975E+15,3.74288E+14,Suite 20
Camila,Carlyon,01-05-2023,12:30 AM,10,0904-0358,56062-153,3.53416E+15,3.54668E+15,4th Floor
Marven,Breissan,3/20/2022,1:34 AM,50,67777-240,43269-665,3.47582E+14,3.54314E+15,Apt 516
Shurlocke,Di Domenico,02-02-2022,11:36 PM,99,0168-0015,49288-0346,3.52999E+15,5.04837E+15,12th Floor
Darrell,Kubal,11-05-2022,8:07 AM,85,10544-146,12462-601,3.57213E+15,3.55806E+15,Room 236
Myrah,Housaman,09-07-2022,4:18 AM,64,59305-028,76237-140,5.60222E+15,3.76933E+14,20th Floor
Rachel,Melchior,12-04-2022,7:47 PM,57,57664-108,62818-101,5.45198E+15,3.58072E+15,Suite 57
Rebe,Matteris,08-06-2022,4:04 PM,46,59762-2310,52125-728,6.76157E+15,3.55497E+15,Apt 902
Brunhilde,Eyes,11/30/2022,5:10 AM,98,53603-1006,0832-1213,3.55192E+15,2.019E+14,Suite 22
Deidre,Ratcliffe,4/29/2022,9:00 AM,65,51079-481,46123-036,3.55795E+15,3.53027E+15,Apt 65
Myles,Sherel,12/16/2022,1:44 AM,23,68387-802,59779-717,6.76238E+15,6.37754E+15,Apt 1348
Earvin,Harget,04-09-2022,5:15 PM,74,48951-6055,43598-330,3.54132E+15,3.57865E+15,Suite 28
Isidro,Crannage,11-09-2022,1:16 PM,50,76214-044,62257-367,4.93673E+18,3.0386E+13,Apt 100
Janka,McGillacoell,09-04-2022,6:31 AM,51,12634-978,0404-0703,5.10017E+15,3.54898E+15,PO Box 48468
Geraldine,Galletly,06-07-2022,11:36 PM,38,54868-3314,21695-113,6.76169E+16,6.76295E+15,Suite 25
Fletcher,Conford,04-11-2022,1:45 AM,30,36987-1249,25010-815,3.58487E+15,3.55817E+15,Room 1599
Tull,Lamperd,5/25/2022,6:00 AM,91,43857-0028,0597-0158,3.54397E+15,2.01424E+14,17th Floor
Mordy,Kain,8/16/2022,11:47 PM,72,59762-6731,24208-785,3.55667E+15,3.57915E+15,PO Box 65009
Matthew,Cinelli,09-06-2022,12:04 PM,54,51672-1335,41520-368,3.58277E+15,3.54486E+15,3rd Floor
Ad,Jorissen,08-10-2022,8:15 AM,86,43353-819,76214-033,3.58526E+15,3.74283E+14,Apt 589
Eartha,Izzard,09-12-2022,2:24 AM,21,49349-684,49781-096,5.60225E+16,4.91709E+15,Apt 928
Gwendolen,Bass,05-02-2022,12:16 AM,63,36987-1231,49947-003,3.56033E+15,3.58137E+15,10th Floor
Mannie,Vowell,01-10-2023,12:50 AM,36,49738-416,59762-1412,5.10875E+15,3.58975E+15,5th Floor
Karalynn,Matschke,5/18/2022,6:37 PM,59,16590-167,59535-2401,5.01846E+15,6.75985E+15,PO Box 24145
Justen,Tills,07-12-2022,12:14 PM,91,49348-574,43269-795,3.58306E+15,5.10875E+15,PO Box 41972
Tyne,Nairne,07-11-2022,6:58 AM,24,49348-530,36800-245,5.64182E+15,6.7592E+18,Apt 1474
Dunc,Squires,03-08-2022,10:59 PM,35,51672-4075,36987-3010,3.53461E+15,3.54786E+15,PO Box 66985
Desi,Knight,6/14/2022,7:06 PM,21,42961-012,55315-822,3.55379E+15,2.01663E+14,Apt 993
Eli,Rook,1/18/2023,11:45 AM,27,63629-5086,36800-101,3.57836E+15,3.58658E+15,PO Box 91341
Kinny,Wonter,11/18/2022,4:23 AM,45,54569-2801,76214-044,5.60221E+15,3.00512E+13,PO Box 59329
Brinna,Crabtree,8/25/2022,11:00 PM,71,42549-527,16590-936,2.01681E+14,3.57176E+15,Apt 752
Gilemette,Dethloff,8/25/2022,4:31 AM,62,63629-4970,0264-7802,6.30459E+16,5.04838E+15,Suite 4
Garland,Cerro,7/16/2022,8:43 PM,28,0173-0676,0941-0430,3.58163E+15,2.01617E+14,PO Box 34583
Edlin,Kytter,9/18/2022,2:16 AM,19,24909-116,57297-207,6.70904E+17,3.58661E+15,Apt 184
Callean,Colborn,7/20/2022,9:06 PM,99,0088-1206,49817-0053,3.53994E+15,6.04545E+17,19th Floor
Vernor,Bealton,07-02-2022,2:49 AM,15,58930-020,49349-054,4.17501E+15,6.75945E+18,Suite 39
Tabb,Shemming,09-03-2022,8:49 AM,67,36987-2620,65954-047,3.56833E+15,6.04217E+16,Suite 25
Cathryn,Brezlaw,7/28/2022,8:32 PM,38,63868-068,41520-025,3.56259E+15,3.5825E+15,Apt 1923
Yolanda,Belison,11-09-2022,11:44 PM,100,42291-370,63629-3906,3.55908E+15,3.58742E+15,19th Floor
Hortense,Pawling,10/16/2022,11:30 AM,29,54868-5279,49738-176,2.01437E+14,3.54129E+15,Apt 1803
Darb,Matteoni,03-07-2022,9:49 PM,95,63539-014,63824-479,5.10875E+15,3.53051E+15,Apt 1795
Ardra,Jaumet,07-12-2022,5:21 AM,15,10702-016,10237-728,6.37783E+15,3.55741E+15,Room 454
Lindsy,Hughlock,10-01-2022,6:56 AM,24,0268-0817,58118-1525,3.56022E+15,3.5881E+15,Room 1244
Beverlie,Shotbolt,7/29/2022,8:59 PM,61,43479-202,54868-3849,3.5748E+15,3.57009E+15,Suite 95
Leighton,Faux,11-01-2022,5:43 AM,63,60505-3250,51257-644,5.10015E+15,3.01825E+13,15th Floor
Janos,Worge,01-04-2023,7:25 PM,95,65923-559,65044-0852,3.53216E+15,4.93607E+17,9th Floor
Danette,McAvaddy,5/23/2022,12:07 AM,46,0904-6203,54868-5722,4.9363E+18,3.42294E+14,6th Floor
Ward,Cheales,12/19/2022,12:25 PM,82,52533-205,51460-0275,6.30406E+15,4.50897E+15,Room 425
Skip,Youdell,06-03-2022,1:23 PM,19,43353-506,55154-8298,3.53127E+15,2.01755E+14,Suite 80
Travis,Hardistry,8/22/2022,6:58 AM,47,13811-676,68788-1473,3.57386E+15,6.30447E+17,19th Floor
Morgun,Winfindine,10-09-2022,5:52 AM,25,67760-001,42747-726,3.57827E+15,3.54228E+15,Suite 80
Faith,Badsey,03-04-2022,12:50 AM,88,0004-6416,49288-0641,5.00767E+15,3.53863E+15,PO Box 62540
Friedrich,Tinn,3/29/2022,8:34 AM,83,49299-1090,0378-7002,3.58427E+15,3.52843E+15,1st Floor
Sandie,Klimkowski,04-05-2022,4:42 PM,69,0363-0202,16252-591,2.01587E+14,3.55442E+15,Apt 1480
Ephrayim,Rapley,10/18/2022,2:47 PM,34,42043-321,62206-4720,3.52888E+15,3.55474E+15,14th Floor
Evey,Amerighi,6/29/2022,4:09 PM,21,42254-116,63323-140,3.5884E+15,3.05257E+13,20th Floor
Kennan,Sapp,9/17/2022,5:22 AM,21,43742-0295,67046-205,3.57746E+15,5.01805E+15,PO Box 65833
Ally,Ronaghan,07-04-2022,3:33 PM,28,62670-4405,31722-537,3.53799E+15,3.57706E+15,Apt 1832
Winnifred,Joreau,4/25/2022,2:16 AM,100,0228-2752,0228-2803,5.60224E+17,5.60223E+15,Apt 1982
Alia,Warner,1/25/2023,9:51 PM,98,55714-4567,21749-366,5.61046E+18,5.42148E+15,PO Box 26801
Elianore,Bessett,04-07-2022,11:04 AM,74,0363-0804,65862-145,5.45853E+15,5.10017E+15,PO Box 58402
Trixi,Sandal,4/25/2022,7:01 PM,86,59050-251,29033-001,3.54997E+15,3.53947E+15,3rd Floor
Maximilien,Bracegirdle,02-11-2022,2:37 AM,52,62750-006,0006-3514,3.55017E+15,6.30403E+16,PO Box 18712
Sandy,Kisar,02-01-2022,10:01 PM,89,61010-5701,58118-0189,3.54035E+15,3.55546E+15,PO Box 93245
Pepillo,Tudbald,12/28/2022,2:40 PM,60,51389-102,60681-1405,3.56151E+15,3.58455E+15,7th Floor
Leslie,Mayworth,6/24/2022,10:35 AM,79,0078-0367,41190-302,5.89365E+15,3.55871E+15,Room 442
Alfonso,Tomini,1/27/2023,9:05 PM,14,54868-6254,68382-261,3.58843E+15,3.54531E+15,Room 1162
Frederick,Hedan,9/20/2022,3:11 AM,50,46122-026,33342-052,5.36106E+15,4.4051E+15,PO Box 13137
Fletcher,Franies,9/26/2022,12:00 AM,46,66336-393,54868-6106,5.10876E+15,3.58281E+15,15th Floor
Fidel,Sexton,12-02-2022,3:02 AM,81,50580-496,59779-511,5.60225E+17,5.01805E+15,Suite 42
Don,Chotty,11-03-2022,12:32 PM,69,59875-2010,54575-248,3.53635E+15,4.02672E+15,Apt 649
Nathanial,Salt,03-06-2022,5:38 AM,30,42377-001,75981-370,5.53893E+15,3.54819E+15,16th Floor
Fitzgerald,Bunch,06-01-2022,2:19 AM,21,55910-018,52533-024,5.60226E+15,6.70965E+18,11th Floor
Rebe,Pickle,07-04-2022,11:26 AM,64,11673-109,35356-840,3.58099E+15,3.01662E+13,17th Floor
Kally,Harriday,07-03-2022,9:23 PM,46,11559-736,0363-0190,3.53922E+15,3.56697E+15,Room 484
Roselin,Roser,04-04-2022,10:13 PM,54,49348-195,65121-304,5.10013E+15,5.89384E+15,PO Box 62003
Gerik,Pixton,4/21/2022,8:37 AM,99,67046-644,0013-0102,5.00236E+15,4.04137E+12,Apt 1724
Weber,Blinde,11-09-2022,4:30 PM,94,41250-256,52125-365,3.72301E+14,5.10875E+15,PO Box 92131
Rodie,Kalberer,12/15/2022,8:21 AM,32,13107-059,36987-1997,5.52549E+15,4.57062E+15,Apt 1415
Shawn,Faloon,7/23/2022,1:37 PM,48,62670-4359,10544-181,5.04837E+15,5.13885E+15,Suite 14
Gabriell,Reeman,03-08-2022,12:50 PM,30,55154-4763,68858-100,2.01868E+14,2.01976E+14,Room 464
Marlin,Blanchflower,9/24/2022,5:17 AM,48,24385-524,51079-119,3.55407E+15,3.71493E+14,PO Box 10988
Twyla,Salaman,10-06-2022,1:40 AM,24,76237-143,0363-0036,2.01802E+14,3.56725E+15,PO Box 59787
Wilone,O'Kenny,3/17/2022,12:49 AM,61,51991-708,48663-0001,3.56375E+15,6.37409E+15,2nd Floor
Mercy,Helstrip,01-07-2023,9:27 PM,63,52731-7048,68151-4769,4.90333E+18,4.9036E+18,Suite 32
Thorin,Bernade,10/14/2022,11:29 AM,75,65321-025,30142-092,5.58934E+15,3.5384E+15,7th Floor
Sydel,Dewan,7/13/2022,8:26 PM,48,57844-691,66336-555,6.33302E+17,3.53159E+15,2nd Floor
Adrienne,Colchett,4/23/2022,11:44 PM,52,10544-273,41250-111,5.10018E+15,3.55576E+15,7th Floor
Kaspar,Dimelow,01-07-2023,5:02 PM,84,57520-0306,54569-5595,3.55339E+15,3.0364E+13,4th Floor
Vitia,Beardshall,3/25/2022,12:20 AM,64,68151-0238,0338-0509,4.91178E+17,6.70998E+17,Room 71
Joann,Tallboy,10/27/2022,9:40 AM,66,52125-155,54868-5334,3.03359E+13,3.54486E+15,Suite 19
Hetty,Hukins,12/29/2022,9:35 PM,75,76138-103,52584-045,6.7092E+15,3.54905E+15,16th Floor
Natale,Oleksiak,12/31/2022,9:24 AM,33,10361-778,43353-675,5.60223E+15,3.49191E+14,Suite 14
Francine,Bilbie,08-04-2022,7:26 AM,55,0548-1240,50967-317,5.60221E+15,3.58995E+15,Suite 67
Yancy,MacAllen,12/30/2022,3:57 PM,70,58895-1001,55154-5052,5.49643E+15,3.54173E+15,Suite 95
Donelle,Berston,8/24/2022,11:00 AM,53,57520-0430,16590-185,3.56094E+15,3.55491E+15,Room 859
Donetta,Aspinal,7/17/2022,6:39 PM,64,54295-307,0641-6075,2.01637E+14,3.53399E+15,Suite 1
Benetta,Sneezum,11/27/2022,12:20 AM,32,0234-0587,37808-181,3.58804E+15,4.91151E+17,Apt 655
Tildy,Reah,6/24/2022,4:59 PM,60,68151-1305,42507-002,6.38329E+15,3.5513E+15,Apt 550
Britni,Redgrave,05-01-2022,7:09 AM,66,54868-5251,64942-1151,4.175E+15,3.54186E+15,Suite 1
Alister,Feighney,4/28/2022,8:46 AM,72,0404-5638,11086-021,5.60222E+15,5.10017E+15,Suite 95
Loretta,Goodship,06-06-2022,2:45 AM,50,68210-0401,63739-986,3.56101E+15,3.54864E+15,PO Box 47074
Pavia,Korpal,8/22/2022,7:32 AM,33,41520-223,57955-0081,3.58534E+15,6.30472E+16,16th Floor
Wes,Swainston,10-12-2022,9:12 AM,83,57237-055,55118-245,3.53828E+15,6.04382E+16,Apt 191
Drusi,Jirousek,01-05-2023,9:03 PM,33,43063-404,61957-1003,4.90362E+15,5.60223E+16,Room 731
Celestina,Renne,01-01-2023,3:36 AM,60,0372-0006,59883-821,3.54033E+15,4.175E+15,PO Box 22258
Penelopa,Vinck,01-01-2023,1:31 PM,31,57520-0136,64305-006,3.5411E+15,3.53798E+15,Suite 82
Melly,Petruk,8/24/2022,5:28 PM,77,55504-0540,62670-4383,5.03851E+18,6.75983E+18,Room 1712
Nikolos,Joris,04-01-2022,7:18 PM,18,54738-905,0781-1439,5.60222E+15,3.5336E+15,Room 1317
Hulda,Russilll,6/21/2022,12:46 PM,63,55910-160,58118-3780,3.57138E+15,5.60222E+15,6th Floor
Alphonse,Claw,12/21/2022,6:00 PM,100,62756-798,55045-1594,4.04159E+12,3.55633E+15,2nd Floor
Rice,Beavon,11/13/2022,10:23 AM,63,0378-3567,63687-0001,3.53623E+15,5.01012E+15,2nd Floor
Townie,Sworder,5/20/2022,12:01 AM,75,55504-4000,0143-9962,3.53872E+15,3.55282E+15,Room 1337
Cathe,Kornilyev,7/24/2022,5:38 AM,36,10096-0219,55316-090,6.33473E+15,3.53001E+15,PO Box 26182
Thorndike,Pawlett,11-01-2022,7:51 AM,27,57520-0410,61657-0208,3.014E+13,3.5737E+15,Room 610
Ev,Schwaiger,6/28/2022,8:41 PM,28,0002-7512,64533-000,5.60222E+15,3.58088E+15,Apt 1779
Odella,De Benedictis,11/18/2022,5:46 PM,66,68462-497,59898-123,2.01678E+14,3.57408E+15,Apt 1569
Antonius,Tillman,6/14/2022,11:21 AM,66,37808-441,49999-819,3.53645E+15,3.56626E+15,Apt 637
Stevena,Meth,08-08-2022,9:06 AM,32,49288-0914,63868-968,3.56229E+15,3.54656E+15,Suite 70
Nari,Sporner,6/22/2022,12:27 PM,81,63304-643,21695-996,2.01991E+14,5.33648E+15,Suite 60
Warner,Capelow,1/24/2023,11:43 AM,55,55289-270,11822-0957,2.01622E+14,6.75935E+15,Suite 69
Marybelle,Carp,05-04-2022,7:58 AM,30,11822-3108,24839-699,5.60224E+15,3.55812E+15,Room 1971
Padget,Rothery,10-02-2022,9:55 PM,10,63739-531,43269-908,6.30455E+16,3.55702E+15,Apt 376
Sigismundo,Sijmons,10-10-2022,7:39 AM,94,51460-0504,52862-017,3.57821E+15,5.25044E+15,Apt 659
Aurore,Sapson,11/14/2022,7:05 AM,74,37808-107,0054-0021,5.10013E+15,2.01905E+14,PO Box 69177
Isabel,Collimore,4/15/2022,4:38 AM,77,47335-816,63824-411,5.61048E+15,3.5418E+15,Apt 450
Cyndia,Witsey,01-11-2023,10:31 AM,31,16590-143,52125-674,6.70942E+15,6.76178E+17,11th Floor
Jacintha,Spriggin,11-01-2022,3:58 AM,72,0173-0814,43857-0041,3.5831E+15,3.58004E+15,Suite 24
Daron,Hooks,03-06-2022,8:02 PM,89,64376-820,61852-978,3.56239E+15,3.5393E+15,Room 240
Elaine,Jorioz,10/14/2022,6:09 PM,91,55154-5750,10812-228,3.37941E+14,5.60226E+15,Apt 1509
Adelina,Spedroni,9/15/2022,2:05 AM,56,37205-708,36987-1490,4.17501E+15,3.55548E+15,Apt 1346
Dodi,Byars,08-05-2022,7:39 AM,55,0904-5991,68703-085,3.57487E+15,3.54663E+15,19th Floor
Lucina,Broom,6/29/2022,12:08 AM,30,0179-1482,55714-2221,3.05065E+13,5.60226E+15,Suite 22
Wally,Marcussen,04-09-2022,3:13 AM,70,66715-9739,0591-3293,5.1731E+15,6.76752E+18,Suite 42
Keefer,Earingey,10/29/2022,11:22 PM,47,36800-015,63629-4422,6.33322E+17,3.74283E+14,Suite 34
Opal,Furtado,10/13/2022,6:20 AM,97,68084-172,42637-822,3.54155E+15,5.10875E+15,Apt 1524
Caria,Cusack,6/23/2022,9:09 AM,53,0131-1810,63736-023,6.76704E+18,3.55734E+15,Suite 75
Mickie,Sandlin,10/14/2022,3:33 PM,30,36800-604,43353-132,3.56329E+15,5.61031E+16,14th Floor
Cathryn,Leroux,1/16/2023,7:48 AM,20,60919-1073,52125-020,3.55978E+15,5.60224E+15,Room 5
Johan,Collins,1/28/2023,8:07 AM,66,53329-808,34666-006,2.0172E+14,3.58301E+15,15th Floor
Marysa,Broadfield,2/24/2022,6:25 AM,39,49288-0730,54868-1616,3.57792E+15,3.55718E+15,Room 788
Fawne,Hollibone,03-02-2022,3:35 AM,88,52584-783,58118-4132,4.50874E+15,6.37731E+15,17th Floor
Weylin,Goosnell,01-08-2023,5:21 PM,72,49348-598,41268-175,3.02569E+13,6.30441E+16,Room 308
Sven,Jachimiak,8/30/2022,10:02 AM,17,62559-158,59762-1851,3.57393E+15,4.50817E+15,Apt 1658
Sherline,Fussen,12/22/2022,4:49 AM,90,50436-3173,54569-2299,4.4059E+15,3.0194E+13,10th Floor
Laurent,O'Kynsillaghe,02-05-2022,4:50 PM,13,0944-8402,43269-843,3.54878E+15,6.30493E+18,Apt 460
